samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
7,3,1237900,22100,1
8,3,1425500,24900,1
1,4,219300,3400,0.996364
2,4,433400,6600,0.996364
3,4,645400,9400,0.996364
4,4,864600,13000,1
5,4,978700,14600,1
6,4,1171600,17400,1
7,4,1361200,20000,1
8,4,1551700,22600,1
1,1,127400,2500,0.836364
2,1,253500,4900,0.872727
3,1,379000,7500,0.861818
4,1,505700,9700,0.869091
5,1,631700,12100,0.850909
6,1,1196200,18800,0.861818
7,1,990300,18800,0.861818
8,1,1517900,21400,0.861818
1,2,274700,4300,0.916364
2,2,605800,7800,0.916364
3,2,477100,9200,0.92
4,2,636800,12200,0.916364
5,2,833800,15500,0.934545
6,2,1726900,19300,0.927273
7,2,1101500,19400,0.938182
8,2,1151200,22100,0.927273
1,3,299100,4400,0.989091
2,3,358000,6600,0.992727
3,3,533000,9600,1
4,3,1247800,14600,1
5,3,1477100,17900,1
6,3,1065800,19300,0.996364
7,3,1237700,22000,1
8,3,2148500,25400,1
1,4,200900,3000,0.996364
2,4,394700,6000,0.996364
3,4,648800,9500,0.996364
4,4,862000,12800,1
5,4,1075800,15800,1
6,4,1237500,17500,1
7,4,1366400,20100,1
8,4,1919400,25000,1
1,1,140800,2800,0.836364
2,1,354200,8500,0.872727
3,1,441000,8100,0.861818
4,1,697700,9900,0.869091
5,1,632500,12200,0.850909
6,1,895500,16000,0.861818
7,1,883900,17000,0.861818
8,1,1009400,19200,0.861818
1,2,162500,3200,0.916364
2,2,318900,6200,0.916364
3,2,477100,18800,0.92
4,2,576500,11100,0.916364
5,2,721800,13900,0.934545
6,2,983900,18200,0.927273
7,2,1034700,19200,0.938182
8,2,1248600,21900,0.927273
1,3,164100,3000,0.989091
2,3,322800,5800,0.992727
3,3,484700,8800,1
4,3,645500,11600,1
5,3,803100,14200,1
6,3,987700,17000,0.996364
7,3,1226200,20200,1
8,3,1281300,22700,1
1,4,200100,3100,0.996364
2,4,393100,6100,0.996364
3,4,589400,8700,0.996364
4,4,785100,11600,1
5,4,978200,14600,1
6,4,1317100,17400,1
7,4,1361700,20100,1
8,4,1990200,23200,1
1,1,127700,2500,0.836364
2,1,253700,4900,0.872727
3,1,379200,7400,0.861818
4,1,506000,9700,0.869091
5,1,632200,12200,0.850909
6,1,776400,18200,0.861818
7,1,884300,16900,0.861818
8,1,1009200,19400,0.861818
1,2,146900,3000,0.916364
2,2,289400,5700,0.916364
3,2,430900,8100,0.92
4,2,576500,11000,0.916364
5,2,842400,15200,0.934545
6,2,866000,16600,0.927273
7,2,1006100,19200,0.938182
8,2,1151900,21900,0.927273
1,3,164300,3000,0.989091
2,3,355800,6400,0.992727
3,3,539400,8700,1
4,3,644600,11600,1
5,3,854200,27600,1
6,3,964700,17100,0.996364
7,3,1123400,20000,1
8,3,1282400,23100,1
1,4,200500,3100,0.996364
2,4,393000,6000,0.996364
3,4,648400,9500,0.996364
4,4,864300,12800,1
5,4,1076800,16000,1
6,4,2339700,22200,1
7,4,1504600,22200,1
8,4,1711900,25300,1
1,1,141100,3300,0.836364
2,1,280600,5500,0.872727
3,1,436100,8300,0.861818
4,1,558000,10800,0.869091
5,1,697500,13400,0.850909
6,1,1523300,16900,0.861818
7,1,1020300,19600,0.861818
8,1,2455500,27600,0.861818
1,2,162900,3300,0.916364
2,2,321000,6200,0.916364
3,2,498900,9100,0.92
4,2,637000,12200,0.916364
5,2,804000,15200,0.934545
6,2,987100,18400,0.927273
7,2,1130100,21200,0.938182
8,2,1304200,24400,0.927273
1,3,215200,3300,0.989091
2,3,365500,6500,0.992727
3,3,866700,22200,1
4,3,709800,12900,1
5,3,893000,15500,1
6,3,1079600,18900,0.996364
7,3,3675800,53600,1
8,3,4192100,67100,1
1,4,220800,3300,0.996364
2,4,433100,6500,0.996364
3,4,655000,9400,0.996364
4,4,865100,12800,1
5,4,1079000,16000,1
6,4,2666800,47100,1
7,4,2329200,22500,1
8,4,1725000,24800,1
1,1,144300,2800,0.836364
2,1,283100,5500,0.872727
3,1,417400,8200,0.861818
4,1,1546700,26000,0.869091
5,1,865100,13500,0.850909
6,1,835500,16000,0.861818
7,1,981800,18500,0.861818
8,1,1109600,21300,0.861818
1,2,162200,3200,0.916364
2,2,318900,6100,0.916364
3,2,474800,9000,0.92
